director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Joel Edgerton,Lucas Hedges,Nicole Kidman,Joel Edgerton,Drama,boy erased,Lucas Hedges Nicole Kidman Joel Edgerton Joel Edgerton Drama
Orson Welles,John Huston,Oja Kodar,Peter Bogdanovich,Drama,the other side of the wind,John Huston Oja Kodar Peter Bogdanovich Orson Welles Drama
Matthew Heineman,Rosamund Pike,Jamie Dornan,Tom Hollander,Drama War,a private war,Rosamund Pike Jamie Dornan Tom Hollander Matthew Heineman Drama War
"Zeek Earl, Chris Caldwell",Pedro Pascal,Sophie Thatcher,Jay Duplass,Science Fiction,prospect,"Pedro Pascal Sophie Thatcher Jay Duplass Zeek Earl, Chris Caldwell Science Fiction"
Joseph Kahn,Calum Worthy,Jackie Long,Rory Uphold,Drama Comedy Music,bodied,Calum Worthy Jackie Long Rory Uphold Joseph Kahn Drama Comedy Music
Jason Reitman,Hugh Jackman,Vera Farmiga,J. K. Simmons,Drama History,the front runner,Hugh Jackman Vera Farmiga J. K. Simmons Jason Reitman Drama History
"Scott Mosier, Yarrow Cheney",Benedict Cumberbatch,Rashida Jones,Kenan Thompson,Animation Family Comedy Fantasy,the grinch,"Benedict Cumberbatch Rashida Jones Kenan Thompson Scott Mosier, Yarrow Cheney Animation Family Comedy Fantasy"
Fede Álvarez,Claire Foy,Sverrir Gudnason,LaKeith Stanfield,Action Crime Thriller,the girl in the spider's web,Claire Foy Sverrir Gudnason LaKeith Stanfield Fede Álvarez Action Crime Thriller
Julius Avery,Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Horror War Science Fiction,overlord,Jovan Adepo Wyatt Russell Mathilde Ollivier Julius Avery Horror War Science Fiction
"Coen brothers (directors/screenplay); Tyne Daly, James Franco, Brendan Gleeson, Bill Heck, Grainger Hines, Zoe Kazan, Harry Melling, Liam Neeson, Tim Blake Nelson, Jonjo O'Neill, Chelcie Ross, Saul Rubinek, Tom Waits",Tyne Daly,James Franco,Brendan Gleeson,Western Comedy Drama,the ballad of buster scruggs,"Tyne Daly James Franco Brendan Gleeson Coen brothers (directors/screenplay); Tyne Daly, James Franco, Brendan Gleeson, Bill Heck, Grainger Hines, Zoe Kazan, Harry Melling, Liam Neeson, Tim Blake Nelson, Jonjo O'Neill, Chelcie Ross, Saul Rubinek, Tom Waits Western Comedy Drama"
